VOC,JSC,FF,PCE,NOCount_D,NumAliphaticCarbocycles_D,NumAliphaticRings_D,NumAromaticCarbocycles_D,RingCount_D,fr_C_O_D,fr_NH0_D,fr_bicyclic_D,fr_ether_D,fr_halogen_D,fr_unbrch_alkane_D,NOCount_A,NumAliphaticCarbocycles_A,NumAliphaticRings_A,NumAromaticCarbocycles_A,NumAromaticHeterocycles_A,NumHAcceptors_A,NumHeteroatoms_A,NumRotatableBonds_A,fr_Ar_N_A,fr_C_O_A,fr_NH0_A,fr_allylic_oxid_A,fr_aryl_methyl_A,fr_bicyclic_A,fr_halogen_A,fr_ketone_A,fr_nitrile_A,fr_thiophene_A,fr_unbrch_alkane_A
0.82,18.81,69,10.63,2,0,0,1,9,0,2,3,0,0,4,6,4,4,7,4,10,14,26,0,2,4,6,4,12,4,2,4,4,8
0.9,17.4,65,10.56,2,1,1,1,10,2,0,4,0,0,0,6,4,4,5,6,12,12,26,0,2,4,6,4,12,0,2,4,6,8
0.86,22.14,55.17,10.48,3,0,0,2,9,0,3,3,0,4,6,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.88,19.15,62.03,10.46,3,0,0,2,9,0,3,3,0,2,6,12,4,4,7,4,16,26,50,0,2,4,6,4,8,4,2,4,4,14
0.86,19.3,62.4,10.4,2,1,1,1,10,2,0,4,0,0,0,10,4,4,7,6,16,20,32,0,2,4,6,4,12,4,2,4,6,8
0.94,18.4,60.2,10.4,5,0,0,4,9,0,3,3,2,2,10,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.863,19.07,63.1,10.38,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,15,19,36,4,2,8,6,4,16,4,2,4,4,22
0.879,17.53,66.7,10.32,2,1,1,1,10,2,0,4,0,2,0,8,4,4,2,5,12,16,28,2,2,6,6,0,8,4,2,4,4,0
1,16.38,62.47,10.2,2,1,1,1,10,2,0,4,0,2,0,8,2,2,7,6,14,14,36,4,0,8,2,4,12,0,0,4,4,16
1.12,14.06,64,10.18,8,0,0,2,10,2,4,2,2,4,30,24,0,0,25,12,28,28,84,8,0,8,0,0,16,0,0,0,4,16
0.94,16.75,64.5,10.15,2,0,0,1,7,1,0,3,1,1,0,18,3,3,7,6,24,24,27,9,0,15,0,0,15,0,0,6,0,0
1.11,13.68,66.4,10.08,3,0,0,2,9,0,3,3,0,2,6,14,2,2,9,6,18,18,46,8,0,12,0,6,8,0,0,4,2,16
0.88,17.5,65.1,10.04,2,1,1,1,10,2,0,4,0,0,0,10,4,4,7,6,16,18,32,0,2,4,6,4,12,2,2,4,6,8
0.87,17.6,65.37,10.04,3,0,1,2,15,2,1,5,0,0,0,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.87,18.58,62,10.02,5,0,0,4,5,1,2,1,0,0,0,6,2,2,4,4,10,10,90,0,2,4,6,0,11,0,2,4,4,56
0.71,22.7,62.5,10,2,0,2,2,13,0,2,9,0,2,0,8,4,4,7,4,12,16,42,0,2,4,6,4,8,4,2,4,4,8
0.76,19.7,64.3,9.97,10,0,0,4,18,0,4,6,4,0,20,6,4,4,7,4,10,14,26,0,2,4,6,4,12,4,2,4,4,8
0.81,17.75,69.14,9.94,2,0,0,1,7,1,0,3,1,1,0,14,0,4,11,2,12,16,52,0,8,4,0,0,6,0,0,0,2,8
0.99,16.99,58.73,9.84,2,1,1,3,10,2,0,4,0,2,12,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
1.24,11.6,68.1,9.8,2,1,1,1,10,2,0,4,0,2,0,4,4,4,7,4,8,12,26,0,4,0,2,4,12,4,4,0,4,8
0.898,15.8,68.1,9.7,2,0,0,1,7,1,0,3,1,1,0,12,1,1,4,4,16,16,32,6,0,10,0,0,5,0,0,4,0,16
0.84,20.24,57,9.65,0,0,0,0,4,0,0,0,0,2,12,10,2,2,3,7,15,15,26,4,2,8,6,0,16,0,2,4,4,0
0.902,17.45,61.2,9.64,3,0,0,2,7,0,3,3,0,2,6,6,4,4,8,6,12,16,36,0,2,4,6,6,19,4,2,4,6,12
1.055,14,63.8,9.63,2,1,1,1,10,2,0,4,0,2,0,18,0,0,19,9,18,21,54,6,0,6,0,0,12,0,0,0,0,12
0.89,16.5,65.4,9.6,0,0,0,0,1,0,0,0,0,0,2,8,2,2,3,7,13,17,42,4,4,4,2,2,16,4,4,0,4,18
0.87,16.35,67.1,9.56,3,0,0,2,9,0,3,3,0,2,24,8,4,4,7,4,12,12,40,0,2,4,6,4,12,0,2,4,4,8
0.864,18.56,59.5,9.54,2,1,1,1,10,2,0,4,0,0,0,6,4,4,3,8,14,18,46,0,2,4,6,0,10,4,2,4,8,16
1.08,14.65,62,9.5,2,0,0,1,6,0,2,1,0,2,20,8,2,4,3,4,14,16,30,4,2,6,0,0,8,0,0,0,2,0
0.88,13.15,67.15,9.36,3,0,0,2,9,0,3,3,0,2,6,6,4,4,7,3,9,9,26,0,2,4,6,4,10,0,2,4,3,8
0.89,17.49,60.08,9.36,2,1,1,1,10,2,0,4,0,0,0,6,4,4,7,4,8,10,28,0,2,4,6,4,8,0,2,4,2,8
0.881,16.88,62.94,9.35,3,0,0,2,10,0,3,5,0,2,10,6,4,4,7,6,14,14,42,0,2,4,6,4,12,0,2,4,6,8
0.97,15.3,67,9.3,3,0,0,2,9,0,3,3,0,2,6,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.92,15.18,66.4,9.28,2,0,0,1,9,0,2,3,0,0,20,10,4,4,7,4,14,14,30,0,2,4,6,0,12,0,2,4,4,12
0.83,16.99,65.95,9.27,3,0,0,2,9,0,3,3,0,2,24,6,4,4,7,2,8,8,28,0,2,4,10,4,8,0,2,4,2,8
0.77,21.25,56.3,9.22,4,0,0,3,15,0,4,4,0,2,40,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.91,14.95,66.55,9.15,3,0,0,2,9,0,3,3,0,2,24,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.82,17.06,65,9.13,2,1,1,1,10,2,0,4,0,0,0,10,6,6,13,11,21,25,14,2,2,8,6,8,23,4,2,6,10,0
0.9,17.82,56,9.02,2,1,1,1,10,2,0,4,0,0,0,6,3,3,4,4,10,10,32,0,2,4,6,2,7,0,2,4,4,16
0.83,15,72.5,9.02,4,0,0,0,4,2,0,0,2,1,12,6,4,4,3,2,8,12,22,0,2,4,6,0,8,4,2,4,2,8
0.65,21.6,61.4,9,2,0,0,1,7,1,0,3,1,1,0,8,2,3,2,4,12,17,30,0,2,4,6,0,5,4,2,4,4,0
0.99,15.81,57,9,2,1,1,1,10,2,0,4,0,2,2,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
1.02,15.73,55.1,8.87,2,1,1,1,10,2,0,4,0,0,0,10,4,4,7,4,14,14,52,0,2,4,6,4,8,0,2,4,4,20
